Feature,Importance
sttl,2392.0771484375
ct_state_ttl,679.3517456054688
proto_arp,158.53688049316406
state_REQ,142.63446044921875
is_sm_ips_ports,107.40283203125
state_CON,102.75919342041016
swin,101.04036712646484
ct_srv_dst,89.90528106689453
proto_others,88.96964263916016
state_FIN,82.49927520751953
service_dns,70.1125259399414
ct_dst_sport_ltm,65.84185791015625
proto_udp,62.158023834228516
sbytes,47.972755432128906
smean,39.15566635131836
proto_tcp,33.48245620727539
dloss,27.676414489746094
service_ftp,26.805683135986328
proto_ospf,23.18571662902832
service_http,23.124799728393555
